id,nama_rempah,nama_latin,kategori,deskripsi,rasa,aroma,warna,manfaat,fungsi_masakan,resep_populer,tips_penyimpanan
1,Adas,Foeniculum vulgare,Biji Rempah,"Rempah berbentuk biji yang memiliki aroma manis khas dan sering digunakan sebagai bumbu maupun bahan herbal.","Manis dan hangat","Harum manis","Hijau kecokelatan","Membantu pencernaan dan mengurangi kembung","Penambah aroma dan cita rasa","Gulai; Kari; Masakan berbumbu rempah","Simpan dalam wadah kedap udara dan tempat kering"
2,Andaliman,Zanthoxylum acanthopodium,Biji Rempah,"Rempah khas Sumatra Utara yang memberikan sensasi getir dan kebas pada lidah.","Pedas dan getir","Segar sitrus","Hijau","Mengandung antioksidan","Pemberi rasa khas pada masakan Batak","Arsik; Saksang","Simpan dalam wadah tertutup dan hindari kelembapan"
3,Asam Jawa,Tamarindus indica,Buah Rempah,"Buah yang digunakan sebagai pemberi rasa asam alami pada masakan.","Asam","Segar asam","Cokelat","Membantu pencernaan","Penyeimbang rasa masakan","Sayur Asem; Sambal; Garang Asem","Simpan di tempat sejuk dan kering"
4,Bawang Bombay,Allium cepa,Kelompok Umbi,"Umbi berukuran besar yang sering digunakan sebagai bumbu dasar berbagai masakan.","Manis ringan","Aromatik","Putih kekuningan","Mengandung antioksidan","Memberi rasa manis dan aroma","Sup; Tumisan; Steak","Simpan di tempat kering dan berventilasi"
5,Bawang Merah,Allium cepa var. aggregatum,Kelompok Umbi,"Umbi kecil dengan aroma kuat yang menjadi bumbu dasar masakan Indonesia.","Gurih dan sedikit manis","Tajam khas bawang","Ungu kemerahan","Mengandung antioksidan","Bumbu dasar dan penyedap","Sambal; Tumisan; Soto","Simpan di tempat kering"
6,Bawang Putih,Allium sativum,Kelompok Umbi,"Umbi yang sangat umum digunakan sebagai bumbu utama berbagai masakan.","Gurih dan sedikit pedas","Tajam","Putih","Membantu menjaga daya tahan tubuh","Bumbu dasar dan penguat rasa","Hampir semua masakan Indonesia","Simpan di tempat kering dan sejuk"
7,Biji Ketumbar,Coriandrum sativum,Biji Rempah,"Biji beraroma hangat yang sering digunakan dalam bumbu halus.","Hangat dan sedikit manis","Harum khas","Cokelat muda","Mengandung antioksidan","Pemberi aroma dan rasa","Rendang; Gulai; Soto","Simpan dalam wadah tertutup"
8,Bukan Rempah,-,Lainnya,"Objek yang tidak termasuk kategori rempah-rempahan.","-","-","-","-","-","-","-"
9,Bunga Lawang,Illicium verum,Bunga Rempah,"Rempah berbentuk bintang dengan aroma manis khas.","Manis hangat","Harum khas","Cokelat tua","Mengandung senyawa aromatik","Penambah aroma masakan","Semur; Kari; Kaldu","Simpan di wadah kedap udara"
10,Cengkeh,Syzygium aromaticum,Bunga Rempah,"Kuncup bunga kering dengan aroma yang sangat kuat.","Pedas hangat","Sangat harum","Cokelat gelap","Mengandung antioksidan","Penguat aroma dan rasa","Semur; Gulai; Minuman herbal","Simpan dalam wadah tertutup"
11,Daun Jeruk,Citrus hystrix,Daun Aromatik,"Daun beraroma sitrus yang sering digunakan pada masakan Indonesia.","Segar","Sitrus kuat","Hijau","Menyegarkan aroma makanan","Penghilang bau amis","Rendang; Soto; Gulai","Simpan di kulkas atau keringkan"
